Brand,url,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
Acer,https://www.gsmarena.com/acer_liquid_e1-5262.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 900 / 2100 ,,,,,HSPA,"2013, January. Released 2013, March",130.0,132.0,68.5,130.0,9.9,"Accelerometer, gyro, proximity, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_b1_710-5897.php,No cellular connectivity, N/A,,,,No,No,,"2013, November. Released 2013, November",339.0,198.1,129.5,339.0,12.7,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_tab_b1_a71-5239.php,No cellular connectivity, N/A,,,,No,No,,"2013, January. Released 2013, January",320.0,197.4,128.5,320.0,11.3,Accelerometer
Acer,https://www.gsmarena.com/acer_iconia_tab_a110-5067.php,No cellular connectivity, N/A,,,,No,No,,"2012, October. Released 2012, October",390.0,193.0,126.5,390.0,11.4,"Accelerometer, gyro, compass"
Acer,https://www.gsmarena.com/acer_liquid_z110-5057.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 2100 - SIM 1 only,,,,,HSPA 7.2/0.384 Mbps,"2012, October. Released 2012, October",100.0,110.0,61.5,100.0,12.3,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_gallant_e350-4924.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2012, August. Released 2012, September",145.0,129.0,65.9,145.0,9.9,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_gallant_duo-4871.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,,,,HSPA,"2012, July. Released 2012, September",145.0,129.0,65.9,145.0,9.9,"Accelerometer, proximity"
Acer,https://www.gsmarena.com/acer_liquid_glow_e330-4589.php,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2012, February. Released 2012, August",125.0,117.0,58.5,125.0,11.5,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_cloudmobile_s500-4542.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA,"2012, February. Released 2012, September",122.0,127.0,65.8,122.0,9.9,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_a210-5066.php,No cellular connectivity, N/A,,,,No,No,,"2012, Q3. Released 2012, November",685.0,259.1,175.3,685.0,12.2,"Accelerometer, gyro"
Acer,https://www.gsmarena.com/acer_iconia_tab_a200-4450.php,No cellular connectivity, N/A,,,,No,No,,"2012, January. Released 2012, January",700.0,260.0,175.0,700.0,12.4,"Accelerometer, gyro"
Acer,https://www.gsmarena.com/acer_iconia_tab_a701-4934.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 21.1/5.76 Mbps,"2012, January. Released 2012, July",667.0,259.8,175.0,667.0,10.9,"Accelerometer, gyro, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_a700-4425.php,No cellular connectivity, N/A,,,,No,No,,"2012, January. Released 2012, August",665.0,259.0,175.0,665.0,11.0,"Accelerometer, gyro, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_a511-4643.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2012, February. Released 2012, August",777.0,260.0,175.0,777.0,11.0,"Accelerometer, gyro, proximity, compass"
Acer,https://www.gsmarena.com/acer_iconia_tab_a510-4642.php,No cellular connectivity, N/A,,,,No,No,,"2012, February. Released 2012, April",680.0,259.1,175.3,680.0,10.2,"Accelerometer, gyro, compass"
Acer,https://www.gsmarena.com/acer_allegro-3966.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2011, October. Released 2011, November",126.0,116.0,59.0,126.0,13.0,"Accelerometer, proximity, compass"
Acer,https://www.gsmarena.com/acer_liquid_express_e320-4261.php,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,"2011, September. Released 2011, November",138.0,115.0,60.8,138.0,13.4,"Accelerometer, proximity"
