Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Weight,BODY_Thickness,FEATURES_Sensors
alcatel,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 12,Class 12,,"2011, May. Released 2011, Q2",101.0,115.0,61.1,101.0,12.9,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 12,Class 12,,"2011, February. Released 2011, Q3",105.0,118.5,59.0,105.0,12.2,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 12,Class 12,,"2011, February. Released 2011, Q3",102.0,115.0,61.1,102.0,12.9,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 12,Class 12,,"2011, February. Released 2011, Q3",100.0,111.0,58.2,100.0,14.0,
alcatel,GSM / UMTS,GSM 850 / 1900 ,UMTS 900 / 2100 ,,,,,"Yes, 384 kbps","2011. Released 2011, Q2",,112.0,47.6,,12.8,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 12,No,,"2011, February. Released 2011, Q3",77.0,96.0,48.0,77.0,16.8,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 12,No,,"2011, July. Released 2011, July",87.0,105.0,58.0,87.0,12.0,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 12,No,,"2011, February. Released 2011, Q3",80.0,106.0,46.0,80.0,13.4,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,"2011, August. Released 2011, Q3",85.0,105.0,58.0,85.0,12.0,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,"2011, February. Released 2011, Q3",74.0,91.0,44.8,74.0,19.4,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,"2011, February. Released 2011, March",80.0,103.0,58.0,80.0,12.1,
alcatel,GSM / UMTS,GSM 850 / 1900 ,UMTS 1900 / 2100 ,,,,,"Yes, 384 kbps","2011. Released 2011, Q2",,112.0,47.6,,12.8,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,"2011, February. Released 2011, Q3",80.0,107.0,46.0,80.0,14.0,
alcatel,GSM,GSM 850 / 1900 ,,,,No,No,,2010. Released 2010,70.0,90.0,44.5,70.0,19.1,
alcatel,GSM,GSM 850 / 1900 ,,,,No,No,,"2011, February. Released 2011, Q3",66.0,108.0,46.0,66.0,15.3,
alcatel,GSM,GSM 850 / 1900 ,,,,No,No,,"2011, February. Released 2011, July",68.0,108.0,46.0,68.0,15.3,
alcatel,GSM,GSM 850 / 1900 ,,,,No,No,,"2011, August. Released 2011, August",61.0,106.0,46.0,61.0,14.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2011, February. Released 2011, Q3",67.0,108.0,46.0,67.0,15.3,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2011, February. Released 2011, Q3",67.0,108.0,46.0,67.0,15.3,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2011, February. Released 2011, Q3",65.0,108.0,46.0,65.0,15.3,
alcatel,GSM,GSM 850 / 1900 ,,,,No,No,,2010. Released 2010,65.0,108.0,46.0,65.0,15.3,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,2010. Released 2010,80.0,96.2,53.0,80.0,14.1,
alcatel,GSM,GSM 900 / 1800 / 1900 ,,,,Class 12,Class 12,,"2010, June. Released 2010, July",102.0,111.0,58.2,102.0,13.9,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, June",76.0,100.5,58.0,76.0,12.0,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2010, February. Released 2010, June",,100.5,58.0,,12.0,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2010, February. Released 2010, July",65.0,108.0,46.0,65.0,15.3,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, Q2",60.0,106.0,46.0,60.0,14.5,
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,,,,HSPA 3.6/0.384 Mbps,"2010, February. Released 2010, August",105.0,110.0,59.0,105.0,14.9,Accelerometer
alcatel,GSM,GSM 900 / 1800 ,,,,Class 12,Class 12,,"2010, February. Released 2010, Q2",120.0,106.0,57.0,120.0,16.5,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 12,Class 12,,"2010, February. Released 2010, March",118.0,106.0,57.0,118.0,16.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2010, February. Released 2010, July",65.0,108.0,46.0,65.0,15.3,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, September",69.0,108.0,46.0,69.0,15.3,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, August",66.0,108.0,46.0,66.0,15.3,
alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,"2010, February. Released 2010, June",152.0,108.0,60.4,152.0,15.9,"Accelerometer, compass"
alcatel,GSM,GSM 900 / 1800 / 1900 ,,,,Class 12,Class 12,,"2009. Released 2009, December",103.0,111.0,58.2,103.0,13.9,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, February",67.0,107.0,46.0,67.0,14.3,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, Q2",90.0,91.0,45.0,90.0,19.2,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, February",69.0,107.0,46.0,69.0,14.3,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,"2010, February. Released 2010, Q2",69.0,107.0,46.0,69.0,14.3,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2010, February. Released 2010, July",69.0,96.0,46.8,69.0,16.8,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2009. Released 2009, December",60.0,116.0,46.0,60.0,14.5,
alcatel,GSM,GSM 900 / 1800 / 1900 ,,,,Class 12,Class 12,,"2009, August. Released 2009, August",102.0,111.0,58.2,102.0,13.9,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2009, October. Released 2009, Q4",85.0,94.3,46.2,85.0,19.4,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2009, July. Released 2009, Q3",85.0,94.3,46.2,85.0,19.4,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2009, July. Released 2009, Q3",85.0,91.7,45.0,85.0,20.8,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2009, August. Released 2009, Q3",83.0,89.0,45.7,83.0,22.0,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2009, March. Released 2009",66.0,107.0,46.0,66.0,12.1,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2009. Released 2009,71.0,90.0,44.5,71.0,11.3,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2009, March",88.0,91.0,45.0,88.0,19.0,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2009, February",69.0,98.0,44.0,69.0,12.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2009, June. Released 2009",60.0,98.0,44.0,60.0,12.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2009, February",60.0,98.0,44.0,60.0,12.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2009, February",69.0,98.0,42.5,69.0,18.5,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2008, November. Released 2008, December",83.0,89.0,45.7,83.0,22.0,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2007, October",83.0,89.0,45.7,83.0,22.0,
alcatel,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,,"2008, February. Released 2008, August",75.0,102.0,45.0,75.0,15.9,Accelerometer
alcatel,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,,"2008, February. Released 2008, August",75.0,102.0,45.0,75.0,15.9,Accelerometer
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2008, February. Released 2008, June",83.0,89.0,45.7,83.0,22.0,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,"2008, February. Released 2008, June",83.0,92.0,45.6,83.0,22.9,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2008. Released 2008,78.0,90.0,45.0,78.0,17.3,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2008, January. Released 2008, February",70.0,87.5,45.0,70.0,21.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2008, February. Released 2008, August",,98.0,44.0,,12.3,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,2008. Released 2008,83.0,103.5,44.9,83.0,10.9,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,2008. Released 2008,83.0,103.5,44.9,83.0,10.9,
alcatel,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,,,"Yes, 384 kbps","2008, February",90.0,105.0,45.5,90.0,15.5,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2008, February. Released 2008, July",69.0,103.5,44.9,69.0,10.9,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2008, February. Released 2009, June",69.0,103.0,44.9,69.0,10.9,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2008. Released 2008,90.0,90.5,44.5,90.0,18.0,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2008, February. Released 2008, July",90.0,90.5,44.5,90.0,18.0,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2008, February. Released 2008, July",70.0,98.0,43.6,70.0,13.8,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,2008. Released 2008,70.0,98.0,43.6,70.0,13.8,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,2008. Released 2008,60.0,98.0,44.0,60.0,12.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2008, February. Released 2008, April",70.0,98.0,44.0,70.0,12.3,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2008, February. Released 2008, April",,98.0,44.0,,12.3,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2008, February",69.0,98.0,42.5,69.0,18.5,
alcatel,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,,"2007, February",99.0,96.0,50.0,99.0,18.0,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2007, February",85.0,91.7,45.0,85.0,20.8,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2007, February",83.0,89.0,45.7,83.0,22.5,
alcatel,GSM,GSM 850 / 1900 ,,,,Class 10,No,,2007. Released 2007,83.0,89.0,45.7,83.0,22.0,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2007, February",75.0,100.0,45.0,75.0,14.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",70.0,87.0,45.0,70.0,21.0,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",81.0,86.0,44.5,81.0,22.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",70.0,87.5,44.0,70.0,21.0,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,2007. Released 2007,69.0,98.0,42.5,69.0,18.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2006, October",80.0,96.0,42.5,80.0,19.0,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",69.0,98.0,42.5,69.0,18.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",69.0,98.0,42.5,69.0,18.5,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2007, February",84.0,88.0,45.5,84.0,21.0,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",81.0,86.0,44.3,81.0,22.5,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",80.0,97.0,45.0,80.0,17.3,
alcatel,GSM,GSM 900 / 1800 ,,,,No,No,,"2007, February",83.0,84.6,45.0,83.0,23.4,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,2006,85.0,88.0,45.0,85.0,21.0,
alcatel,GSM,GSM 900 / 1800 ,,,,Class 10,No,,"2006, February",85.0,88.0,45.0,85.0,21.0,
